Ticker,Date/Time,Open,High,Low,Close,Volume
ADRO,7/1/2015,760,770,755,755,179108
ADRO,7/2/2015,760,775,750,760,414894
ADRO,7/3/2015,760,770,755,760,185053
ADRO,7/6/2015,755,760,735,740,243154
ADRO,7/7/2015,740,745,695,700,488937
ADRO,7/8/2015,695,705,655,655,557606
ADRO,7/9/2015,650,665,605,630,1173691
ADRO,7/10/2015,635,655,620,635,599803
ADRO,7/13/2015,640,645,610,620,367324
ADRO,7/14/2015,620,625,580,585,781815
ADRO,7/15/2015,590,605,585,595,562106
ADRO,7/22/2015,600,600,560,575,893471
ADRO,7/23/2015,580,600,575,595,733460
ADRO,7/24/2015,590,595,555,560,624308
ADRO,7/27/2015,560,575,550,555,382678
ADRO,7/28/2015,565,600,550,600,926504
ADRO,7/29/2015,600,615,575,590,1220112
ADRO,7/30/2015,600,600,580,585,442388
ADRO,7/31/2015,590,595,580,590,616464
ADRO,8/3/2015,590,595,560,570,420269
ADRO,8/4/2015,570,600,565,590,723996
ADRO,8/5/2015,595,610,585,600,1079591
ADRO,8/6/2015,600,600,590,595,644338
ADRO,8/7/2015,595,595,575,580,227681
ADRO,8/10/2015,580,580,560,565,228179
ADRO,8/11/2015,570,580,520,530,714439
ADRO,8/12/2015,505,505,471,485,1147932
ADRO,8/13/2015,491,505,489,498,500000
ADRO,8/14/2015,505,505,490,500,181929
ADRO,8/18/2015,492,500,484,487,392561
ADRO,8/19/2015,497,500,484,486,251870
ADRO,8/20/2015,491,491,480,484,214896
ADRO,8/21/2015,484,495,472,490,411830
ADRO,8/24/2015,480,480,467,474,273431
ADRO,8/25/2015,468,585,468,545,1046362
ADRO,8/26/2015,545,580,520,540,799136
ADRO,8/27/2015,555,590,545,590,1339144
ADRO,8/28/2015,605,650,600,620,1134597
ADRO,8/31/2015,625,635,590,595,837997
ADRO,9/1/2015,595,620,575,575,483812
ADRO,9/2/2015,565,615,555,610,547426
ADRO,9/3/2015,620,630,610,620,298316
ADRO,9/4/2015,620,620,570,580,269905
ADRO,9/7/2015,580,595,555,555,134765
ADRO,9/8/2015,555,585,555,570,184735
ADRO,9/9/2015,580,595,575,580,553596
ADRO,9/10/2015,570,570,540,540,703796
ADRO,9/11/2015,550,565,545,565,395085
ADRO,9/14/2015,575,585,565,570,329682
ADRO,9/15/2015,575,580,560,580,207953
ADRO,9/16/2015,590,590,565,570,219346
ADRO,9/17/2015,585,590,575,585,286470
ADRO,9/18/2015,585,610,580,600,527930
ADRO,9/21/2015,590,610,585,600,180310
ADRO,9/22/2015,605,615,590,595,310762
ADRO,9/23/2015,590,595,570,580,357785
ADRO,9/25/2015,580,585,565,585,208458
ADRO,9/28/2015,585,590,550,550,256830
ADRO,9/29/2015,525,540,510,535,438291
ADRO,9/30/2015,520,540,515,535,508324
ADRO,10/1/2015,515,545,515,530,418754
ADRO,10/2/2015,525,530,515,520,379954
ADRO,10/5/2015,525,540,525,535,710600
ADRO,10/6/2015,545,570,540,560,1053481
ADRO,10/7/2015,570,630,570,615,1135889
ADRO,10/8/2015,620,625,590,620,540641
ADRO,10/9/2015,635,710,635,680,1397464
ADRO,10/12/2015,685,705,680,700,697455
ADRO,10/13/2015,695,695,635,635,645422
ADRO,10/15/2015,635,665,620,640,505117
ADRO,10/16/2015,650,675,620,640,837945
ADRO,10/19/2015,650,660,635,645,412426
ADRO,10/20/2015,640,695,640,670,655854
ADRO,10/21/2015,685,695,645,650,401181
ADRO,10/22/2015,650,655,630,635,208338
ADRO,10/23/2015,650,675,645,670,416858
ADRO,10/26/2015,675,680,660,680,293600
ADRO,10/27/2015,675,675,650,665,265593
ADRO,10/28/2015,650,660,645,650,464034
ADRO,10/29/2015,650,660,605,615,521958
ADRO,10/30/2015,610,620,585,595,566851
ADRO,11/2/2015,600,615,590,610,564782
ADRO,11/3/2015,620,645,620,640,472940
ADRO,11/4/2015,650,660,645,655,270796
ADRO,11/5/2015,650,655,625,630,236350
ADRO,11/6/2015,640,645,620,620,168826
ADRO,11/9/2015,630,640,615,615,336950
ADRO,11/10/2015,615,635,610,610,215851
ADRO,11/11/2015,615,645,605,640,556088
ADRO,11/12/2015,640,645,610,610,309236
ADRO,11/13/2015,600,610,580,580,418011
ADRO,11/16/2015,575,575,555,560,336244
ADRO,11/17/2015,570,575,555,555,328275
ADRO,11/18/2015,560,580,555,575,500657
ADRO,11/19/2015,585,605,585,600,380957
ADRO,11/20/2015,605,605,585,585,246395
ADRO,11/23/2015,595,595,570,570,166152
ADRO,11/24/2015,560,580,560,565,264563
ADRO,11/25/2015,565,585,565,585,290683
ADRO,11/26/2015,590,595,580,585,336767
ADRO,11/27/2015,585,585,565,565,134921
ADRO,11/30/2015,555,565,525,550,977677
ADRO,12/1/2015,555,560,540,545,295975
ADRO,12/2/2015,550,550,530,540,306319
ADRO,12/3/2015,535,535,525,535,235644
ADRO,12/4/2015,525,540,520,525,387755
ADRO,12/7/2015,525,530,510,510,254203
ADRO,12/8/2015,500,515,490,490,515714
ADRO,12/10/2015,490,498,472,475,577391
ADRO,12/11/2015,480,494,475,485,506301
ADRO,12/14/2015,475,482,475,477,233737
ADRO,12/15/2015,477,482,441,463,861732
ADRO,12/16/2015,465,510,458,492,754878
ADRO,12/17/2015,500,530,498,510,616639
ADRO,12/18/2015,505,515,490,490,531073
ADRO,12/21/2015,494,505,494,495,138104
ADRO,12/22/2015,500,510,497,500,236056
ADRO,12/23/2015,505,505,500,500,53052
ADRO,12/28/2015,505,520,500,510,199292
ADRO,12/29/2015,505,520,500,520,238743
ADRO,12/30/2015,530,530,515,515,81579
ADRO,1/4/2016,510,515,494,494,208647
ADRO,1/5/2016,500,510,495,499,225094
ADRO,1/6/2016,499,510,495,500,491505
ADRO,1/7/2016,495,500,485,485,235837
ADRO,1/8/2016,490,499,490,493,181869
ADRO,1/11/2016,493,499,486,486,169604
ADRO,1/12/2016,486,490,481,481,99160
ADRO,1/13/2016,481,488,473,473,331031
ADRO,1/14/2016,469,471,450,464,398559
ADRO,1/15/2016,467,469,449,449,431457
ADRO,1/18/2016,440,452,439,450,182520
ADRO,1/19/2016,453,463,451,461,217657
ADRO,1/20/2016,460,466,437,437,349310
ADRO,1/21/2016,441,462,441,450,584606
ADRO,1/22/2016,460,520,456,515,724364
ADRO,1/25/2016,525,530,497,498,386178
ADRO,1/26/2016,493,493,476,476,281743
ADRO,1/27/2016,488,495,475,477,339937
ADRO,1/28/2016,490,520,490,520,588836
ADRO,1/29/2016,530,540,510,525,572872
ADRO,2/1/2016,535,535,500,515,262625
ADRO,2/2/2016,500,580,500,555,909984
ADRO,2/3/2016,545,580,535,575,418124
ADRO,2/4/2016,585,630,570,620,837855
ADRO,2/5/2016,620,655,620,640,658100
ADRO,2/9/2016,620,625,580,590,382877
ADRO,2/10/2016,575,595,565,575,313828
ADRO,2/11/2016,575,615,575,605,683114
ADRO,2/12/2016,600,610,585,600,159887
ADRO,2/15/2016,610,620,580,585,342917
ADRO,2/16/2016,595,620,590,615,813781
ADRO,2/17/2016,615,630,610,620,344755
ADRO,2/18/2016,630,645,595,605,835216
ADRO,2/19/2016,595,620,580,585,437091
ADRO,2/22/2016,590,600,580,595,280735
ADRO,2/23/2016,610,615,595,595,388704
ADRO,2/24/2016,600,605,585,595,116484
ADRO,2/25/2016,605,605,570,570,232022
ADRO,2/26/2016,585,600,575,600,452391
ADRO,2/29/2016,600,610,595,605,550463
ADRO,3/1/2016,610,670,610,670,1161868
ADRO,3/2/2016,685,690,655,660,883310
ADRO,3/3/2016,665,675,645,650,593665
ADRO,3/4/2016,660,685,660,680,685116
ADRO,3/7/2016,685,745,685,745,981666
ADRO,3/8/2016,755,795,755,790,1216216
ADRO,3/10/2016,775,800,760,770,460943
ADRO,3/11/2016,760,770,725,725,1003731
ADRO,3/14/2016,735,750,730,740,444785
ADRO,3/15/2016,735,735,700,700,597148
ADRO,3/16/2016,705,735,700,730,517662
ADRO,3/17/2016,745,755,735,745,780107
ADRO,3/18/2016,755,760,680,680,1517888
ADRO,3/21/2016,685,715,680,705,1173958
ADRO,3/22/2016,710,720,690,695,529998
ADRO,3/23/2016,695,705,690,690,295369
ADRO,3/24/2016,680,685,645,660,532190
ADRO,3/28/2016,660,680,655,670,267702
ADRO,3/29/2016,665,670,650,650,255903
ADRO,3/30/2016,660,670,650,665,368601
ADRO,3/31/2016,665,670,640,645,759554
ADRO,4/1/2016,645,665,645,665,359844
ADRO,4/4/2016,665,690,655,680,551004
ADRO,4/5/2016,680,685,670,670,227764
ADRO,4/6/2016,665,695,665,695,682699
ADRO,4/7/2016,705,715,690,690,868288
ADRO,4/8/2016,685,705,680,705,461406
ADRO,4/11/2016,715,715,700,710,502815
ADRO,4/12/2016,710,715,695,695,634382
ADRO,4/13/2016,705,740,705,740,1580470
ADRO,4/14/2016,745,745,715,720,1070563
ADRO,4/15/2016,730,730,690,700,492162
ADRO,4/18/2016,685,695,665,685,610024
ADRO,4/19/2016,700,705,690,700,363275
ADRO,4/20/2016,705,730,700,720,671973
ADRO,4/21/2016,730,760,725,750,1286424
ADRO,4/22/2016,745,760,735,745,621496
ADRO,4/25/2016,745,770,740,750,578836
ADRO,4/26/2016,745,745,710,720,540107
ADRO,4/27/2016,735,735,710,725,245753
ADRO,4/28/2016,735,745,715,735,362857
ADRO,4/29/2016,730,735,715,730,329406
ADRO,5/2/2016,720,730,695,715,226774
ADRO,5/3/2016,725,725,705,715,236862
ADRO,5/4/2016,705,720,695,720,293094
ADRO,5/9/2016,710,715,675,695,511826
ADRO,5/10/2016,675,685,655,665,412108
ADRO,5/11/2016,670,700,660,685,454895
ADRO,5/12/2016,685,700,685,695,139312
ADRO,5/13/2016,690,695,670,670,188583
ADRO,5/16/2016,670,695,665,685,222691
ADRO,5/17/2016,700,710,680,695,570664
ADRO,5/18/2016,690,705,680,690,322059
ADRO,5/19/2016,685,685,675,675,180457
ADRO,5/20/2016,680,685,670,670,148230
ADRO,5/23/2016,675,685,670,670,158033
ADRO,5/24/2016,675,680,655,660,258910
ADRO,5/25/2016,670,690,670,680,312835
ADRO,5/26/2016,685,705,675,700,854738
ADRO,5/27/2016,710,710,690,695,382417
ADRO,5/30/2016,700,710,695,695,270246
ADRO,5/31/2016,700,710,690,710,465784
ADRO,6/1/2016,710,725,705,720,568133
ADRO,6/2/2016,725,770,720,755,1386551
ADRO,6/3/2016,760,825,760,815,1796589
ADRO,6/6/2016,825,845,815,840,763106
ADRO,6/7/2016,845,915,830,910,1526644
ADRO,6/8/2016,920,930,870,870,1291515
ADRO,6/9/2016,880,945,870,925,1466435
ADRO,6/10/2016,925,935,880,890,567846
ADRO,6/13/2016,870,875,855,860,257529
ADRO,6/14/2016,860,895,845,845,608037
ADRO,6/15/2016,845,875,830,865,1013264
ADRO,6/16/2016,865,865,840,845,641396
ADRO,6/17/2016,840,850,800,800,1274611
ADRO,6/20/2016,815,850,815,845,861815
ADRO,6/21/2016,855,865,840,845,920116
ADRO,6/22/2016,850,870,845,845,814297
ADRO,6/23/2016,850,865,840,850,961792
ADRO,6/24/2016,850,855,805,840,727013
ADRO,6/27/2016,830,840,820,835,225300
ADRO,6/28/2016,835,865,830,855,584949
ADRO,6/29/2016,865,885,845,855,690760
ADRO,6/30/2016,870,875,850,850,1012571
ADRO,7/1/2016,860,895,860,885,739947
ADRO,7/11/2016,900,940,900,925,1221614
ADRO,7/12/2016,930,980,915,970,1200268
ADRO,7/13/2016,990,1075,990,1025,1086738
ADRO,7/14/2016,1045,1070,1030,1040,605851
ADRO,7/15/2016,1045,1060,995,995,847826
ADRO,7/18/2016,1020,1040,1005,1030,549461
ADRO,7/19/2016,1030,1050,1015,1025,733712
ADRO,7/20/2016,1020,1065,1020,1035,719543
ADRO,7/21/2016,1050,1055,1035,1055,451799
ADRO,7/22/2016,1055,1060,1040,1050,529712
ADRO,7/25/2016,1045,1070,1030,1070,573995
ADRO,7/26/2016,1070,1090,1060,1060,257718
ADRO,7/27/2016,1065,1065,1025,1045,512850
ADRO,7/28/2016,1045,1070,1035,1060,358547
ADRO,7/29/2016,1055,1070,1000,1040,596445
ADRO,8/1/2016,1040,1045,1015,1040,306946
ADRO,8/2/2016,1055,1120,1055,1105,1278343
ADRO,8/3/2016,1105,1190,1105,1140,1131505
ADRO,8/4/2016,1175,1185,1110,1110,886008
ADRO,8/5/2016,1120,1155,1120,1145,594475
ADRO,8/8/2016,1150,1165,1140,1150,484904
ADRO,8/9/2016,1170,1200,1155,1200,547679
ADRO,8/10/2016,1200,1200,1140,1155,403750
ADRO,8/11/2016,1145,1145,1085,1085,508953
ADRO,8/12/2016,1130,1145,1110,1135,595543
ADRO,8/15/2016,1140,1150,1105,1120,276189
ADRO,8/16/2016,1120,1170,1110,1145,766502
ADRO,8/18/2016,1160,1175,1150,1170,472357
ADRO,8/19/2016,1150,1165,1100,1105,845631
ADRO,8/22/2016,1110,1130,1100,1115,298975
ADRO,8/23/2016,1115,1115,1065,1080,546124
ADRO,8/24/2016,1090,1090,1055,1060,314022
ADRO,8/25/2016,1060,1105,1055,1100,417640
ADRO,8/26/2016,1100,1115,1065,1080,278609
ADRO,8/29/2016,1080,1095,1050,1065,282370
ADRO,8/30/2016,1100,1135,1070,1135,880374
ADRO,8/31/2016,1145,1190,1140,1150,1402491
ADRO,9/1/2016,1150,1190,1135,1185,602635
ADRO,9/2/2016,1175,1190,1160,1170,209899
ADRO,9/5/2016,1180,1220,1180,1220,500153
ADRO,9/6/2016,1230,1245,1215,1225,284674
ADRO,9/7/2016,1240,1250,1205,1245,551990
ADRO,9/8/2016,1245,1285,1215,1270,786989
ADRO,9/9/2016,1270,1275,1230,1270,289460
ADRO,9/13/2016,1250,1250,1150,1165,517050
ADRO,9/14/2016,1150,1150,1105,1120,480577
ADRO,9/15/2016,1120,1170,1115,1165,482064
ADRO,9/16/2016,1180,1195,1155,1165,577624
ADRO,9/19/2016,1180,1210,1180,1185,302424
ADRO,9/20/2016,1185,1195,1165,1180,383887
ADRO,9/21/2016,1175,1180,1160,1170,224536
ADRO,9/22/2016,1185,1230,1185,1185,538163
ADRO,9/23/2016,1205,1230,1190,1210,433079
ADRO,9/26/2016,1210,1215,1190,1200,138746
ADRO,9/27/2016,1215,1215,1185,1210,471816
ADRO,9/28/2016,1215,1215,1175,1200,285547
ADRO,9/29/2016,1230,1290,1230,1280,722926
ADRO,9/30/2016,1270,1270,1205,1205,391658
ADRO,10/3/2016,1250,1300,1250,1300,417843
ADRO,10/4/2016,1325,1345,1305,1305,549700
ADRO,10/5/2016,1305,1325,1280,1290,322733
ADRO,10/6/2016,1320,1370,1315,1360,851246
ADRO,10/7/2016,1365,1380,1335,1375,442332
ADRO,10/10/2016,1370,1400,1345,1385,406707
ADRO,10/11/2016,1400,1415,1375,1400,534161
ADRO,10/12/2016,1390,1410,1385,1405,308696
ADRO,10/13/2016,1415,1430,1405,1405,296373
ADRO,10/14/2016,1405,1425,1390,1425,355340
ADRO,10/17/2016,1435,1480,1435,1460,466570
ADRO,10/18/2016,1480,1520,1440,1440,525875
ADRO,10/19/2016,1485,1545,1485,1530,880323
ADRO,10/20/2016,1530,1540,1505,1510,356392
ADRO,10/21/2016,1510,1545,1450,1500,1128023
ADRO,10/24/2016,1500,1540,1495,1525,263328
ADRO,10/25/2016,1540,1540,1520,1525,197555
ADRO,10/26/2016,1545,1595,1545,1555,709863
ADRO,10/27/2016,1590,1605,1535,1550,606306
ADRO,10/28/2016,1565,1585,1555,1580,416908
ADRO,10/31/2016,1560,1585,1555,1585,230610
ADRO,11/1/2016,1605,1650,1605,1640,643286
ADRO,11/2/2016,1650,1735,1645,1720,693737
ADRO,11/3/2016,1700,1710,1630,1640,459760
ADRO,11/4/2016,1605,1670,1580,1670,802305
ADRO,11/7/2016,1685,1710,1675,1685,363789
ADRO,11/8/2016,1700,1720,1610,1630,919281
ADRO,11/9/2016,1635,1645,1475,1570,1886712
